Unnamed: 0,questions,answers
268,"What are safer meat choices for pregnant women, and which ones should they avoid? How can meats be safely prepared?'","Pregnant women should opt for meat, game, and poultry that have been cooked or reheated to a safe internal temperature to ensure safety. Safer choices include properly cooked homemade pâtés, meat spreads that are stored correctly, and refrigerated deli meats that are reheated until steaming hot. On the other hand, raw or undercooked meats like tartare or carpaccio, as well as pâtés and meat spreads that don’t require refrigeration until opened, should be avoided. Additionally, refrigerated deli meats that are not reheated and smoked sausages (hot dogs) eaten straight from the package are also unsafe. Reheating these items to a safe internal temperature is crucial to prevent contamination.'"
269,"What are safer fish and seafood choices during pregnancy, and which ones should be avoided? How should fish be prepared to ensure safety?'","Pregnant women should choose fish and seafood that have been cooked or reheated to a safe internal temperature to ensure safety. Safer options include fish and seafood that are properly cooked or reheated, as well as canned fish and seafood products that don’t require refrigeration until opened. Smoked fish and seafood should be consumed only if they are sold refrigerated or frozen and properly cooked or reheated to a safe internal temperature. On the other hand, raw or undercooked fish and seafood, such as tartare, sushi, ceviche, or raw oysters, should be avoided. Smoked fish or seafood that is sold unrefrigerated and not reheated is also unsafe during pregnancy.'"
270,"What are the safer choices for eggs and egg-based products during pregnancy, and what should be avoided? How should eggs be cooked or used in recipes for safety?'","Pregnant women should consume eggs that are well-cooked, with firm yolks and whites, such as those found in omelets, boiled eggs, or scrambled eggs. Pasteurized eggs and egg whites should be used for recipes that typically require raw eggs, such as homemade mayonnaise or vinaigrettes. Egg-based dishes like quiche should also be cooked to a safe internal temperature. On the other hand, raw or runny eggs, such as sunny side up, soft-boiled, or poached eggs, should be avoided. Additionally, recipes made with raw or undercooked eggs, such as unpasteurized mayonnaise, Caesar salad dressing, homemade eggnog, mousse, or raw cookie dough, should not be consumed during pregnancy. Homemade eggnog should be heated to 71°C (160°F) for safety.'"
271,"What are the safer choices for vegetables, fruits, and juices during pregnancy, and what should be avoided? How should fruits and vegetables be prepared for safety?'","Pregnant women should consume pasteurized fruit juice or unpasteurized juice that has been brought to a boil and then cooled for safety. Fresh fruits and vegetables should be thoroughly washed before consumption to remove any potential contaminants. Cooked or canned sprouts are safe, but raw sprouts, such as alfalfa, clover, radish, mung bean, and bean sprouts, should be avoided due to the risk of foodborne illnesses. Unwashed fruits and vegetables should also be avoided as they may carry harmful bacteria.'"
272,"What are the safer choices for milk and dairy products during pregnancy, and which ones should be avoided?'","During pregnancy, it is essential to consume only pasteurized milk and dairy products made from pasteurized milk to avoid the risk of foodborne illnesses. Unpasteurized (raw) milk and dairy products made from unpasteurized milk should be strictly avoided as they can carry harmful bacteria that may pose a risk to both the mother and the baby.'"
273,"What are the safe types of cheeses during pregnancy, and which ones should be avoided?'","During pregnancy, cheeses that are used in cooked dishes and brought to a safe internal temperature, such as sauces, casseroles, or au gratin, are safe to consume. Hard cheeses like Parmesan and Romano, as well as firm cheeses made from pasteurized milk (such as cheddar, Gouda, and Swiss), cheese curds, cottage cheese, ricotta, cream cheese, and processed spreadable cheeses, are all considered safe. However, pregnant women should avoid soft cheeses like Brie, bocconcini, Camembert, and feta, semi-soft cheeses such as Saint-Paulin and Havarti, as well as blue cheeses, regardless of whether they are made from pasteurized or unpasteurized milk. Additionally, firm cheeses made from unpasteurized (raw) milk should be avoided.'"
274,What health professionals are available for prenatal care? How can you find information about available services? What options exist for midwife services during pregnancy?',"""Health professionals who provide prenatal care include midwives, obstetrician/gynaecologists, family doctors, and primary health care nurse practitioners, though nurse practitioners do not attend deliveries. To find information about services like hospitals, birthing centres, doulas, and prenatal classes, contact local health professionals or clinics. If you're interested in midwife services, reach out to your local CLSC at the start of your pregnancy to inquire about availability in your area."""
275,What is the role of a doula during pregnancy and delivery? How should you choose a doula? Should you inform your health professional about hiring a doula? Are there any costs involved?',"Doulas provide support and information during pregnancy and delivery, as well as assistance after the baby is born, though they are not health professionals. When choosing a doula, it’s important to select someone you and your partner trust and feel comfortable with. You should inform your health professional if you plan to have a doula. Keep in mind that doulas usually charge for their services, with fees varying by organization and depending on your financial resources.'"
276,What services do CLSCs provide to pregnant women and parents? How can a CLSC help with your health and well-being? What role do CLSCs play after birth? How does a CLSC collaborate with other services? How can you find a CLSC in your area?',"CLSCs provide a wide range of health and social services to pregnant women and parents, and they can also inform you about available services in your region. If you have any questions about your health, your CLSC can offer advice or refer you to the appropriate service. After giving birth, a CLSC nurse may contact you to check on you and your baby’s well-being. CLSCs work with childcare centres (CPEs) and community organizations to support families, referring you to additional resources as needed. To find a CLSC in your area, visit the official website.'"
277,"What are Info-Santé and Info-Social, and what services do they provide? How can you access these services? Are these services confidential, and are they available everywhere?'","Info-Santé and Info-Social are confidential, free hotline services available throughout Québec, offering health and psychosocial support. Info-Santé provides advice on health-related concerns for you and your baby, while Info-Social addresses psychological and social issues, offering support for challenges like anxiety, relationship problems, or financial difficulties. These services are available 24/7 by dialing 8-1-1. However, in some remote regions, you will need to contact your prenatal care provider for the local number.'"
278,"What do prenatal classes cover, and who should attend? How can you find prenatal classes in your area?'","Prenatal classes cover topics such as pregnancy, labour, delivery, breastfeeding, and newborn care. These classes are typically held in group settings, and it is encouraged for fathers or partners to attend. They also provide a chance to connect with others going through similar experiences. To find prenatal classes in your area, ask your health professional or contact your local CLSC.'"
279,"What types of prenatal activities are available, and who can participate? How can you find these activities in your area?'","Prenatal activities like yoga, aerobics, aquafitness, and other classes provide a fun way to stay active, meet other expectant parents, and gain useful information during pregnancy. These activities vary in terms of approach, start dates, duration, number of participants, and costs. Some activities are specifically for pregnant women, while others are open to couples. To find out what is available in your area, ask your health professional or contact your local CLSC.'"
280,When is the first prenatal appointment typically scheduled? What will happen during the first prenatal appointment?',"The first prenatal appointment usually takes place between 8 and 11 weeks of pregnancy. This appointment is typically longer than subsequent ones, as your health professional will review your health history and may offer to perform a physical exam.'"
281,What kind of questions might your health professional ask during your first prenatal appointment? Why is it important to discuss tests and concerns at this stage?',"During your first prenatal appointment, your health professional will likely ask about the date of your last menstrual period, your health before and since pregnancy, previous pregnancies, family medical history, any gynecological issues, your lifestyle, religious beliefs, sources of stress, and your work environment. This is also the time to address any concerns or questions about tests, including genetic screening, which should ideally be discussed between 11 and 13 weeks of pregnancy.'"
282,What does a physical exam involve during your prenatal visits? What will be monitored during subsequent appointments?',"""During your first prenatal appointment, a physical exam will be performed, which may include a gynecological exam, checking your weight and blood pressure, and listening to the baby's heartbeat. A PAP test for cervical cancer screening may be suggested, which can also be done later in pregnancy or after birth. Light bleeding after the exam is common and should not cause concern. In subsequent appointments, your health professional will typically check your weight, blood pressure, the height of your uterus (starting around 20 weeks), and the baby’s heartbeat."""
283,What blood tests and urine analyses might be prescribed during pregnancy? What are they used to determine?',"During your prenatal appointments, blood tests and urine analyses may be prescribed to check for anemia, monitor your blood sugar levels, screen for diseases like syphilis, HIV/AIDS, and hepatitis B, and determine your blood type and rhesus (Rh) factor. If you are Rh negative, precautions such as administering anti-Rh immunoglobulin may be taken. Tests will also check for rubella antibodies, bacteria or protein in your urine, and screen for gestational diabetes between 24 and 28 weeks. Additional tests may be suggested depending on your condition.'"
284,Why are vaginal swabs recommended during pregnancy? What do they screen for and how are the results treated?',"Vaginal swabs during pregnancy are recommended to screen for sexually transmitted infections (STIs) like chlamydia and gonorrhoea, as these can go undetected and affect both the mother and baby. The screening is confidential, and if you suspect exposure to an STI after your initial test, you can request a repeat screening. At around 36 weeks, a vaginal and anal swab is also used to test for Group B Streptococcus, a bacteria that, if untreated, can harm the baby during labor. If the bacteria is detected, you will be treated with antibiotics during labor.'"
285,"""What is an ultrasound used for during pregnancy? What information can it provide and can it reveal the baby's sex?""","An ultrasound during pregnancy is used to determine how far along you are, confirm your due date, and check that your baby is growing appropriately. It allows your health professional to examine your baby’s organs, limbs, and confirm how many babies are present. It also helps determine the location of the placenta. Although it’s often possible to identify the baby’s sex, there is a slight risk of error. If you wish to keep the sex a surprise, be sure to inform the technician and doctor to prevent any misunderstandings.'"
286,"What are the screening tests for chromosomal anomalies in pregnancy? What steps are involved, and are they mandatory?'","The Prenatal Screening Program of Québec offers screening tests for chromosomal anomalies, such as trisomy 21, 18, or 13, as part of prenatal care. These tests are not mandatory, and it is up to you to decide whether to participate. The process typically involves a biochemical test, possibly followed by an ultrasound. If the test results suggest a high probability of anomalies, a genomic (fetal DNA) test or a diagnostic test may be offered. Additionally, some women may be offered a genomic test right away if they meet certain criteria, such as being over 40, having a previous pregnancy with trisomy, or carrying twins. Most tests under the screening program are free for those who choose to participate. Before undergoing these tests, it’s important to consider the decisions you might face if the baby is diagnosed with a trisomy.'"
287,"What does the biochemical test involve, and what is its purpose in screening for trisomies? What happens if the test shows a high probability of trisomy 21 or 18?'","The biochemical test involves testing your blood during pregnancy to assess the likelihood of your baby having trisomy 21, 18, or 13. The results, along with your age, help determine whether the probability is low or high. If the test indicates a high probability of trisomy 21 or 18, you will be offered a genomic (fetal DNA) test. In some cases, if the results are particularly concerning, a diagnostic test may be offered right away.'"
288,"What is the purpose of the ultrasound between weeks 11 and 13, and what does nuchal translucency measurement indicate?'","The ultrasound offered between weeks 11 and 13 is used to measure the nuchal translucency, which is the space between the skin of the neck and the spine of the fetus. A higher-than-normal measurement may suggest a higher risk of trisomy 21, other chromosomal abnormalities, or fetal malformations. This test may come with a fee and is often conducted alongside the biochemical test.'"
289,"What is the purpose of the genomic test, and how is it performed?'","The genomic test is used to screen for trisomy 21, 18, and 13. If the biochemical test shows a high risk for trisomy 21 or 18, the genomic test helps to better assess the risk level before considering a diagnostic test. This test is reliable and safe, and it is performed through a blood sample taken from the pregnant woman.'"
290,"What is the diagnostic test, when is it offered, and what should you consider before deciding to take it?'","The diagnostic test is offered if the genomic test shows a high risk of a chromosomal anomaly. While it is a reliable method to confirm whether the baby has a chromosomal disorder, it carries a risk of complications, including miscarriage. If you are faced with the decision of continuing or terminating the pregnancy after these tests, it is important to seek support from your healthcare professional, loved ones, and parent groups for trisomy 21 to make an informed choice. Take your time to gather all necessary information before making a decision.'"
291,What should you know about dental care during pregnancy?',"""You can visit the dentist during pregnancy, but it's important to inform them that you are expecting. Generally, dental care is safe during pregnancy, though your dentist may recommend postponing non-emergency treatments until after delivery to avoid any potential risks."""
292,What should you know about eye care during pregnancy?',"Hormonal changes during pregnancy can lead to dry eyes and discomfort. If you experience fluctuating vision, your glasses or contact lenses may no longer be suitable, and you can consult an optometrist for a temporary prescription. Vision typically stabilizes in the months after birth, so it’s best to wait six to nine months or until you stop breastfeeding before getting a new prescription. However, if you experience sudden vision loss, double vision, or blurry vision, seek medical attention immediately.'"
293,What to do if you need an x-ray during pregnancy?',"If you require an x-ray during pregnancy, always inform your doctor or dentist that you are pregnant. They will assess whether the benefits of the x-ray outweigh any potential risks for you and your baby. Be sure to also inform the medical technician, so they can take necessary safety measures, such as having you wear a lead apron. Additionally, at your first prenatal appointment, mention any x-rays you may have had before you knew you were pregnant.'"
294,Why is the flu vaccine recommended during pregnancy?',"The flu vaccine is recommended for pregnant women who are 13 weeks or more into their pregnancy, as they are at a higher risk of flu complications, which could lead to hospitalization. Additionally, pregnant women may transmit the flu to their baby. If you have a chronic health condition, it is advised to get the flu vaccine as soon as possible, regardless of your stage of pregnancy.'"
295,Why is the pertussis vaccine recommended during pregnancy?',"The pertussis (whooping cough) vaccine is recommended for pregnant women to protect both the mother and the baby, as pertussis can be serious for young babies. The vaccine is usually given between 26 and 32 weeks of pregnancy and helps protect your baby during the first few months of life. The vaccine must be repeated for each pregnancy. Depending on your condition, other vaccines may also be recommended during pregnancy or after delivery.'"
296,What should you do if you have been in contact with someone with a contagious disease during pregnancy?',"If you have been in contact with someone who has a contagious disease during pregnancy, it is important to take precautions to reduce the risk to you and your baby. If you feel sick or have symptoms suggesting you’ve contracted a disease, consult a doctor promptly. If you don’t feel sick but suspect exposure, inform the healthcare facility before your visit. Additionally, follow advice on preventing infections, which is detailed in the section ""Preventing infections"" on page 638.'"
297,"""What should you do if you've been in contact with someone with pertussis (whooping cough) during pregnancy?""","""If you've been in contact with someone who has pertussis (whooping cough) within 4 weeks before your due date, it is important to see a doctor. Pertussis can be serious, particularly for newborns, and early medical advice is crucial for ensuring the health of both you and your baby."""
298,What should pregnant women know about CMV?',"""Cytomegalovirus (CMV) can cause serious problems for unborn children. It is primarily transmitted by young children, even if they don't show symptoms. Pregnant women should take precautions to reduce the risk of CMV transmission, as it can affect the developing fetus. If you believe you've been exposed to CMV, it's important to consult your healthcare provider for advice and potential testing."""
299,What should pregnant women know about Fifth disease?',"""Fifth disease, caused by parvovirus B19, is typically contracted during childhood, which provides immunity in adulthood. However, if an unprotected pregnant woman contracts Fifth disease, there is a risk that the fetus may become infected. This infection can lead to complications, including miscarriage, especially before 20 weeks of pregnancy. If you've been in contact with someone who has Fifth disease, it's important to consult your healthcare provider to assess the situation and determine any necessary actions."""
300,What should pregnant women know about Rubella?',"""Rubella (German measles) is rare in Québec due to widespread vaccination. However, if a pregnant woman contracts rubella, it can lead to serious complications for both the pregnancy and the fetus, including birth defects. If you suspect you've been exposed to someone with rubella, it's important to consult a doctor for evaluation and potential testing."""
301,What risks does measles pose to pregnant women?',"""Measles is a highly contagious disease, and pregnant women who contract it may experience a more severe form of the illness. They are also at a higher risk of miscarriage or preterm birth. If you suspect you have been exposed to measles during pregnancy, it's essential to seek medical advice promptly."""
302,What should pregnant women do if exposed to chickenpox?',"If a pregnant woman is exposed to chickenpox, the risk to the baby depends on her vaccination status or previous infection. If she is vaccinated or has had chickenpox in the past, the baby is generally not at risk. However, if she is not vaccinated and has never had the disease (or is unsure), she should see a doctor within 48 hours for assessment and guidance on the appropriate steps.'"
303,Are there any risks from certain contagious diseases during pregnancy?',"If you come into contact with diseases like roseola, hand-foot-mouth disease, or scarlet fever during pregnancy, there is no specific risk to your pregnancy or baby. However, if you are concerned or need reassurance, it’s always a good idea to consult your doctor. Additionally, if you are worried about potential exposure to sexually transmitted infections (STIs) during pregnancy, speak with your health professional about STI screening. It is a confidential process to ensure your health and the health of your baby.'"
304,Should I continue my medications or natural health products during pregnancy?',"If you are pregnant or planning to become pregnant and are using prescription or over-the-counter medications or natural health products, it’s important to consult your healthcare provider. They can advise you on whether to continue, stop, or adjust your medications, as some may be unsafe for your baby. This is particularly crucial for medications used for conditions such as anxiety, epilepsy, hypertension, hypothyroidism, depression, asthma, or diabetes, which may require adjustments before or during pregnancy. Always seek guidance from a doctor or pharmacist to ensure the safety and well-being of both you and your baby.'"
305,"""What should I do if I'm taking medication and find out I'm pregnant?""","""If you find out you're pregnant and are currently taking medication, it's important to consult a doctor or pharmacist right away. They can guide you on whether to continue, adjust, or stop your treatment. It's crucial not to stop your medication without professional advice, as this could lead to complications for both you and your baby. Additionally, if you become ill during pregnancy, many illnesses can still be treated safely. Always speak to your healthcare provider for the best course of action and to ensure that the treatment prescribed is appropriate for your pregnancy."""
306,Can over-the-counter medications be used during pregnancy? Are there risks involved? What should be done before using over-the-counter medications during pregnancy? How can a health professional help with medication use during pregnancy?',"Some over-the-counter medications can be used for short periods during pregnancy, but others may cause complications. It’s important to consult a pharmacist or other health professional before using any over-the-counter medication. They can advise on alternative ways to reduce discomfort without medication, recommend safe medications for use during pregnancy, check for potential interactions with other medications, and provide guidance on how to properly use the medication.'"
307,Are natural health products safe during pregnancy? What risks do they pose? How do natural health products differ when used as food or in other forms? What types of natural health products should be avoided?',"""Natural health products, including plants, essential oils, supplements, vitamins, and minerals, should be used with caution during pregnancy. Some of these products, or their ingredients, may pose risks, as their effects during pregnancy are not always well understood, and their ingredients may not be clearly listed. While common cooking plants like parsley, basil, and garlic are generally safe, when concentrated into capsules, tablets, or extracts, they can become more potent and potentially harmful. Certain teas and herbal teas may also present risks, so it's important to consult a healthcare professional before using any natural health products during pregnancy."""
308,What are common discomforts during pregnancy? How can fatigue be relieved during pregnancy? What causes fatigue and how can it be managed? When should you seek help?',"""Pregnancy brings about various physical changes that can cause discomforts, such as fatigue, which is common in the early stages and may return in the third trimester. The causes of fatigue include hormonal changes, poor sleep from issues like frequent urination, back pain, or leg cramps, along with factors like insufficient iron intake or dehydration. To manage fatigue, it's important to get enough sleep (8–10 hours), address issues that interfere with sleep quality, adapt your diet to account for nausea, and ensure you're hydrated. If these tips don’t improve your symptoms, or if your condition worsens, seek advice from a health professional or contact Info-Santé (8-1-1) for guidance."""
309,When does nausea and vomiting occur during pregnancy? What are common causes? How can it be managed? When should you see a doctor?',"""Nausea and vomiting are common in pregnancy, typically appearing between 3 and 8 weeks and often peaking around 8 weeks. They are caused by hormonal changes, affecting about 75% of pregnant women with nausea and 50% experiencing vomiting. To manage these symptoms, it’s helpful to eat a light snack, like crackers or toast, before getting up, avoid long periods without food, and eat smaller meals more frequently. It's also beneficial to avoid strong odors, choose foods that are tolerable, and drink between meals. If nausea or vomiting interferes with daily life or leads to weight loss, consult a health professional. Seek immediate medical attention if you experience dehydration signs, such as dry mouth, dark urine, or severe vomiting."""
310,"When do leg cramps typically occur during pregnancy? What causes them, and what are some relief methods? When should you consult a doctor?'","""Leg cramps often occur during the second half of pregnancy and affect more than 50% of pregnant women. They are caused by the build-up of lactic and pyruvic acids in the leg muscles, leading to painful cramps, which usually happen at night. To relieve cramps, stretch the leg by pointing your toes upward, massage the affected muscles, get out of bed, and walk around. If discomfort or soreness persists the next day, it's generally not serious. However, if you experience intense, persistent pain with swelling, it's important to consult your health professional immediately."""
311,"What causes heartburn and acid reflux during pregnancy, and how can they be relieved? When should you seek medical help?'","Heartburn and acid reflux commonly begin at the start of pregnancy and may worsen as the pregnancy progresses. Hormonal changes slow digestion, causing stomach fluids to move into the esophagus. To relieve symptoms, avoid eating or drinking before bed, sleep with your head elevated, wear loose clothing, and eat smaller meals more frequently. Additionally, eating protein-rich foods, reducing fatty foods, citrus fruits, tomatoes, and spices, as well as reducing caffeine intake, can help. If symptoms persist or are accompanied by fever, nausea, vomiting, or severe headache, consult your prenatal care provider.'"
312,"What causes constipation during pregnancy, and how can it be relieved? When should you seek medical help?'","Constipation is common during the 2nd and 3rd trimesters of pregnancy, affecting up to 40% of pregnant women. Hormonal changes, iron supplements, and the expanding uterus putting pressure on the intestines contribute to this issue. To relieve constipation, gradually increase your intake of fiber-rich foods like whole grains, fruits, vegetables, legumes, nuts, and seeds. Also, drink more water, get regular physical activity, and respond promptly to the urge to go. If constipation persists or worsens, consult a healthcare provider, who may suggest fiber or psyllium supplements, and be sure to stay hydrated.'"
313,"What causes hemorrhoids during pregnancy, and how can they be relieved? When should you seek medical help?'","Hemorrhoids are common during the 2nd and 3rd trimesters, affecting 30% to 40% of pregnant women. They are caused by the pressure from the expanding uterus on veins near the anus, and constipation can make the symptoms worse. To relieve hemorrhoids, consider taking sitz baths and follow constipation relief strategies. If the pain persists, consult your pharmacist for recommended products or see a doctor or prenatal care provider for further assistance.'"
314,"What causes varicose veins and swelling during pregnancy, and how can they be alleviated? When should you consult a doctor?'","Varicose veins and swelling during pregnancy are caused by increased blood volume, pressure from the uterus, and restricted circulation, leading to fluid retention in the legs. Varicose veins are common in the legs, vulva, vagina, and anus. To relieve swelling, elevate your legs, sleep on your left side, get regular exercise, avoid prolonged sitting or standing, and wear compression socks. If swelling occurs in one leg only, is accompanied by severe pain, or spreads to other areas, seek medical advice promptly.'"
315,"What causes numbness and pain in the hands during pregnancy, and how can it be treated? When should you consult a doctor?'","Numbness and pain in the hands during pregnancy, common in the 2nd and 3rd trimesters, are often caused by fluid retention (oedema), which compresses the median nerve in the wrist. This condition typically affects both hands, occurs mostly at night, and resolves after childbirth. To manage this, try using an orthotic device or wrist protector for relief. If the issue persists or you experience weakness, seek medical advice from a doctor, especially if symptoms continue after delivery.'"
316,"What causes back pain during pregnancy, and how can it be managed? When should you seek medical help?'","Back pain during pregnancy, affecting around 50% of women, is often caused by lordosis (the forward arch of the spine due to abdominal weight) and ligamentous hyperlaxity (loose ligaments). To manage the pain, engage in regular physical activity, such as swimming, aquafitness, or yoga. Additionally, wearing supportive shoes, maintaining good posture, and sleeping on your side with a pillow between your knees can help. If the pain persists, worsens, or radiates to the legs, or if you experience pain that spreads to your abdomen, consult a healthcare professional as it could indicate early contractions.'"
317,"How to manage pregnancy-related gum issues, and when to seek dental care'","Pregnancy gingivitis, which affects up to 100% of pregnant women, typically begins in the second month and is caused by hormonal changes that make the gums more sensitive, leading to swelling and bleeding. To prevent worsening, brush your teeth at least twice a day and floss daily, as some gum bleeding is normal with flossing. The swelling and bleeding usually resolve about a month after childbirth. If the condition does not improve, consider seeing a dentist for further evaluation.'"
318,Advice on managing common health issues during pregnancy',"""During pregnancy, you may encounter common health problems like headaches, colds, gastroenteritis, and other infections, which may be more frequent or troublesome. Most of these issues can still be treated, but it is important to consult with a pharmacist or healthcare provider before taking any medication to ensure safety for both you and your baby. If you're worried about changes in your health or if symptoms interfere with your daily activities, don't hesitate to seek professional advice."""
319,What causes vaginal bleeding before 14 weeks of pregnancy? When should you consult a health professional for bleeding during the first trimester? What are the signs of heavy bleeding or other complications that require immediate attention?',"""Vaginal bleeding in the early stages of pregnancy is common and often occurs due to changes such as embryo implantation. Light bleeding in these cases is usually harmless and does not affect the pregnancy. However, if you experience bleeding during the first trimester, it's important to consult a health professional to assess the situation, especially for women with Rh-negative blood who may require immunoglobulin treatment. If the bleeding is heavy (soaking two regular pads or one maxi-pad per hour for two or three hours), or if accompanied by weakness, dizziness, or severe abdominal pain, go directly to the emergency room."""
320,"Is vaginal bleeding after 14 weeks of pregnancy normal? What could cause bleeding in the second or third trimester, and when should you see a health professional?'","Vaginal bleeding after the first trimester is not normal and should be evaluated by a health professional immediately. This bleeding could be due to issues like placenta problems, a miscarriage, or the onset of labor. While not all cases of bleeding indicate a risk to the pregnancy, it is essential to be assessed to ensure everything is progressing normally. Light bleeding after a gynecological exam is common due to the fragility of the cervix during pregnancy and does not require immediate evaluation.'"
321,Is it normal to lose consciousness during pregnancy? What should you do if you experience fainting with other symptoms? When should you seek medical help for fainting?',"""While fainting can be normal during pregnancy, it's important to consult a health professional if you experience dizziness or fainting. You should go directly to the emergency room if fainting is accompanied by symptoms like bleeding, severe abdominal pain on one side, chest pain, shoulder pain, or palpitations. Additionally, if you’ve had a blow to the head or belly, it’s crucial to see a health professional for evaluation."""
322,"What should you do if you experience severe headaches, upper abdominal pain, or changes in vision during pregnancy? When should you see a health professional regarding blood pressure?'","""If you experience severe headaches, upper abdominal pain, sudden changes in vision, or a general feeling of being unwell during pregnancy, you should contact your health professional immediately. Additionally, if your blood pressure is higher than 140/90, it's important to consult a health professional for further evaluation."""
323,What does a fever indicate during pregnancy? When should you be concerned about a fever while pregnant?',"A fever during pregnancy indicates an increase in body temperature, usually above 38°C. It could signal an infection that may be harmful to your pregnancy or require treatment. If you have a fever, it is important to consult a health professional to ensure the safety of both you and your baby.'"
324,"When should you consult a health professional for a fever during pregnancy? What medications can you take, and when should you be cautious?'","If your fever is between 38°C and 38.4°C and your condition is stable, you can wait up to 24 hours to see if it improves. However, consult a health professional if your fever lasts more than 24 hours, exceeds 38.5°C, or if you feel unwell. If you suspect you have COVID-19, call Info-Santé (8-1-1) for advice. You can take acetaminophen (Tylenol®) to lower your fever, but avoid ibuprofen or aspirin unless directed by your doctor. Always consult a health professional if you need to take acetaminophen for an extended period.'"
325,What should you do if you notice a decrease or lack of baby movement after 26 weeks? How should you monitor the movements?',"""After 26 weeks, if you notice fewer or no movements from your baby, try resting and see if the movements return. If you count fewer than six distinct movements over two hours, contact your birthing facility or health professional immediately or go to the hospital. Keep in mind that your baby may be more active at different times, and you might not always feel every movement. If you're uncertain, don't hesitate to reach out to your hospital's obstetrics department or birthing center for advice."""
326,How can you tell if you are experiencing real contractions before 37 weeks? What should you watch out for?',"Before 37 weeks, it’s normal to experience Braxton Hicks contractions, which are irregular, sometimes painful, and often triggered by position changes, standing for long periods, or sexual activity. These are not real contractions but are harmless. However, if you feel regular uterine hardening accompanied by pain that lasts for at least 20 seconds, it could indicate real contractions. If the pain comes in regular intervals, this might be a sign that labor is starting. If you experience these symptoms, it’s important to contact your health professional for further evaluation.'"
327,What should you do if you experience regular contractions and increased vaginal discharge before 37 weeks? What does it indicate after 37 weeks?',"If you experience more than seven regular contractions in one day before 37 weeks, along with increased vaginal discharge, it may indicate premature labor. In this case, it’s important to contact your health professional or hospital for evaluation, as premature labor can sometimes be stopped if caught early. However, after 37 weeks, the same symptoms typically indicate the start of normal labor, as your baby is no longer considered premature.'"
328,How can you tell the difference between heartburn and other abdominal pains? What are the symptoms of heartburn?',"Heartburn is characterized by pain in the upper abdomen and a burning sensation caused by excess stomach acid. Unlike other types of abdominal pain, heartburn specifically occurs due to acid reflux, where stomach acid irritates the esophagus. Other abdominal pains may not involve a burning sensation and could be caused by different conditions.'"
329,How can you recognize intestinal cramps? What symptoms are associated with intestinal cramps?',"Intestinal cramps are characterized by pain throughout the abdomen, which can be caused by conditions like diarrhea or constipation. The discomfort typically comes from the intestines and is often associated with changes in bowel movements. Unlike other types of abdominal pain, intestinal cramps are usually linked to digestive issues.'"
330,What symptoms indicate a urinary tract infection (UTI)? What are the signs of a UTI?',"A urinary tract infection (UTI) is characterized by pain in the lower abdomen and sometimes the back, frequent urination in small amounts, and a false urge to urinate with a sense of urgency. Other signs include leaking urine, a burning sensation when urinating, a persistent urge to urinate even after emptying the bladder, and sometimes blood in the urine. These symptoms suggest an infection in the urinary system.'"
331,"What causes ligament pain during pregnancy? When do you experience ligament pain, and is it dangerous?'","Ligament pain during pregnancy is caused by the stretching of the ligaments in the lower abdomen. It typically occurs when you move, exert yourself physically, walk for long periods, or turn over at night. This pain is more common during second pregnancies and is not dangerous for you or your baby. It is a normal part of pregnancy as your body adjusts to the growing baby.'"
332,"What are uterine contractions, and how can you tell if they are a sign of labor? What is the duration and pattern of contraction pain?'","Uterine contractions are characterized by painful hardening of the uterus. The first contractions may feel similar to menstrual cramps. The pain typically lasts at least 20 seconds, and as labor begins, the contractions will come and go at regular intervals. This pattern of pain is a key sign that labor is starting.'"
333,"What is the significance of losing amniotic fluid during pregnancy, and what should you do if it happens? How can you tell if it’s amniotic fluid, and what does it mean if your waters break before or after 37 weeks?'","Loss of amniotic fluid can indicate the start of labor. If you suspect you are losing amniotic fluid, or if you are unsure, you should contact your midwife, birthing facility, or go to the hospital. If your waters break before 37 weeks, it poses a risk to the baby and requires immediate attention. If your waters break at or after 37 weeks, you should go to the hospital or birthing center to ensure proper care.'"
334,"""What are the different types of discharge during pregnancy, and how can you identify them? How do you estimate whether you're losing amniotic fluid?""","During pregnancy, vaginal discharge becomes heavier and runnier, particularly in the final months. It can dampen underwear or soak a panty liner. Urine leakage is more common after physical exertion, coughing, or sneezing, and stops once the bladder is emptied. Amniotic fluid, which is clear and odorless, may leak continuously when the baby moves or the mother changes position. To check for amniotic fluid leakage, wear a sanitary pad, check after 30 minutes, and if the pad is soaked, it indicates that your waters may have broken.'"
335,"What are the causes of bleeding in early pregnancy, and how is miscarriage related to early pregnancy bleeding?'","""Early pregnancy bleeding is common and may occur due to changes like embryo implantation in the uterus. However, about half of women who experience bleeding early in pregnancy may have a miscarriage. In some cases, miscarriage can happen without any symptoms or bleeding. If you experience bleeding during pregnancy, it's important to seek medical evaluation to determine the cause and ensure proper care."""
336,"What are the causes of miscarriage, and how does Rh negative blood impact the situation?'","""Miscarriage is a common occurrence, with about one in six pregnancies ending this way, especially in the first 12 weeks. Most miscarriages are caused by major genetic abnormalities, where the embryo doesn't develop properly, or the baby's heart stops beating. In such cases, the uterus stops growing and expels its contents. If a woman has Rh negative blood, she may need to receive immunoglobulin (WinRho®) following bleeding or miscarriage to prevent complications in future pregnancies. Your healthcare professional will assess whether this is necessary."""
